name	cholesterol	sodium	dietary_fiber	sugars	protein	vitamin_a_dv	vitamin_c_dv	calcium_dv	iron_dv	calories_from_fat	saturated_fat	trans_fat	carbohydrates
StrawberryPreserves	-0.8229185236	-0.8108117067	-0.5015793002	1.7275800439	-1.271047859	-0.3171382914	0.0258088985	-0.9560562495	-0.8481394457	-1.2574717325	-1.1436040971	-0.4298628772	1.6232922963
Bacon,Egg&CheeseBagel†	2.7975065936	0.7894259866	0.3281759512	-1.3308554735	0.3668468846	-0.1437626453	-0.1468594423	-0.5354774288	0.8488388854	0.744246247	0.2369642686	0.6900538916	-0.9132725622
Fruit&MapleOatmeal†	-0.5540275335	-0.4304899632	2.1688973709	-0.1076352276	-0.6121246863	-0.2836588563	0.5466949279	-0.5499801468	0.7903223912	-0.6132406586	-0.5511762927	-0.4298628772	0.6452437772
Fruit&MapleOatmealwithoutBrownSugar†	-0.52300165	-0.5059143474	2.4770292944	-0.6216281469	-0.5360950894	-0.2797958445	0.6273631183	-0.6842976269	0.9793756801	-0.5389063039	-0.4828192383	-0.4298628772	0.4525700539
Fruit'nYogurtParfait	-0.5792360638	-0.4446034654	0.4664684931	0.1537135915	-0.3156092586	-0.3171382914	-0.0062182937	0.1479631547	0.339745386	-0.6736373218	-0.6067163993	-0.4298628772	0.6000189727
LowFatCaramelDip	-0.2659300441	-0.4661451266	-0.5015793002	0.1202270712	-1.271047859	-0.3171382914	-0.1524293888	-0.619593193	-0.8481394457	-0.9238520692	-1.1436040971	-0.4298628772	0.9315018803
VanillaReducedFatIceCreamCone	-0.0431346522	-0.5350784426	-0.5015793002	0.0130702064	-0.2519133519	-0.1229575678	-0.1524293888	-0.1709757843	-0.2146008688	-0.1676474992	0.0017563248	-0.4298628772	0.0552340201
KiddieCone	0.0435080002	-0.5044414133	-0.5015793002	0.1797586628	-0.4217691031	-0.1013819318	-0.1524293888	0.0907177041	-0.8481394457	-0.2195438913	-0.1891370788	-0.4298628772	0.3421989334
StrawberrySundae	-0.1266829242	-0.5769308131	0.0515908674	0.5220653144	-0.4521004872	-0.1437626453	-0.1301496029	-0.1148986082	-0.8481394457	-0.2566127427	0.0835677835	-0.4298628772	0.2973606657
HotCaramelSundae	-0.1348739312	-0.4864196313	-0.0460273974	0.1307326462	-0.4842160704	-0.1743583476	-0.1524293888	-0.0901586775	-0.8481394457	-0.2958621149	0.1196610741	-0.4298628772	0.3210985721
HotFudgeSundae	-0.2321731665	-0.4348118012	0.4371337115	0.3312936232	-0.3445619434	-0.1700316826	-0.1524293888	-0.0639193572	0.0157767956	0.0163487999	0.6785602104	-0.4298628772	0.1139313887
Peanuts(forSundaes)	-0.8229185236	-0.8108117067	2.9403684092	-1.4871259014	0.4275096529	-0.3171382914	-0.1524293888	-0.9560562495	-0.8481394457	1.8563117911	-0.1891370788	-0.4298628772	-1.8100379163
McFlurry®withM&M'S®Candiescup	-0.2137123741	-0.6061659248	0.4664684931	0.2513826089	-0.4947539962	-0.2033605237	-0.1524293888	-0.0360400793	-0.2541970298	0.2750935955	0.735502845	1.5299914683	-0.1314052692
McFlurry®withOREO®Cookiescup	-0.1348739312	-0.4053216125	0.4095245053	0.0817066296	-0.3718115292	-0.1743583476	-0.1524293888	-0.1478851823	-0.1027999434	0.207838161	0.3723141083	0.7998496533	-0.0270573889
BakedHotApplePie	-0.8229185236	-0.3420651578	1.9766230506	-0.8370409214	-0.9653075069	-0.2394660019	0.0035291126	-0.8618465936	0.2922299928	0.7976253931	1.2616527888	-0.4298628772	-0.4613028238
CinnamonMelts	-0.5686411743	-0.2563480779	0.5085575276	-0.6174469984	-0.7725581544	-0.2749250906	-0.1524293888	-0.8024535498	0.7012755522	0.4686473947	0.5370878263	-0.4298628772	-0.2114561982
McDonaldland®Cookies	-0.8229185236	-0.0154272911	0.0941424188	-0.8620441899	-0.6830856434	-0.3171382914	-0.1524293888	-0.9560562495	0.9793756801	1.77674318554183E-005	-0.3176230236	-0.4298628772	0.1421512775
cookie	-0.335553604	-0.4230618041	0.4664684931	-0.3150976922	-0.7933285588	-0.2564568153	-0.1524293888	-0.8088536622	1.5276302178	0.7859487049	0.735502845	-0.4298628772	-0.4088420506
cookie	-0.3030626094	-0.1904118625	0.5310050126	-0.4036509347	-0.7614806054	-0.2524113835	-0.1524293888	-0.7990401564	1.0524762851	0.2994200293	0.2880964303	-0.4298628772	-0.1599896649
